NOME;LOGRADOURO;BAIRRO;TIPO;LATITUDE;LONGITUDE
PEQUENO URSO JUNIOR, E-EF;RUA PAULA PREVELLO GUSSO 392;BOA VISTA;PRIVADO;-25,38363255;-49,25892056
LAPIS E PAPEL, C E I;RUA JOAO REFFO 987;SANTA FELICIDADE;PRIVADO;-25,383633;-49,3348413
TERCEIRA DIMENSAO, E-EF;RUA MARIO BITTENCOURT 83;SANTA CANDIDA;PRIVADO;-25,383638;-49,2315481
PEQUENO URSO, C E I;RUA PAULA PREVEDELLO GUSSO 392;BOA VISTA;PRIVADO;-25,3837568;-49,2588416
HENRIETTE MORINEAU, E A-EF MOD ED ESP;RUA ORLANDO PERUCCI 1472;BUTIATUVINHA;PRIVADO;-25,38585946;-49,35214224
PASSO CERTO, C E I;RUA VERGILIO CARNEIRO MARTINS 17;PILARZINHO;PRIVADO;-25,3862706;-49,2799601
AMAR, C E I;RUA CAPISTRANO DE ABREU 395;BOA VISTA;PRIVADO;-25,3866322;-49,2588045
NOSSA SENHORA DE NAZARE, E-EI EF;RUA NOSSA SENHORA DE NAZARE 1683;BOA VISTA;PRIVADO;-25,3869303;-49,2423466
SESI-SANTA CANDIDA, C-EM;RUA JOAQUIM NABUCO 968;SANTA CANDIDA;PRIVADO;-25,3872263;-49,2223595
ALDEIA BETANIA, E-EI EF;AV MONTEIRO TOURINHO 1335;BACACHERI;PRIVADO;-25,3874154;-49,2139009
