LATITUDE;LONGITUDE;QUANTIDADE
-25,4586661;-49,3233368;3
-25,4586412;-49,3215105;2
-25,4585293;-49,3519431;2
-25,4584563;-49,2050363;9
-25,4584055;-49,3252463;5
-25,4583333;-49,353672;3
-25,4582611;-49,3107966;2
-25,45810416;-49,22206947;6
-25,4581011;-49,2039118;4
-25,4578739;-49,2664129;5
-25,45762584;-49,24634925;12
-25,456939;-49,3223435;2
-25,456744;-49,19543;2
-25,456489;-49,2158131;5
-25,4562519;-49,3584384;7
-25,4561143;-49,195853;2
-25,4560334;-49,3736147;2
-25,4560177;-49,2197859;12
-25,4559941;-49,2550313;2
-25,4559577;-49,2746693;15
-25,4558873;-49,3784863;3
-25,4556494;-49,2186744;12
-25,4555553;-49,2720119;3
-25,4554592;-49,2012197;5
-25,4551809;-49,3765658;2
-25,4549948;-49,2050396;7
